Id,Label
feto,feto
volver,volver
atppopular,@ppopular
feminismo,feminismo
pena,pena
medio,medio
Modelocon10temas_Subtema1,Subtema 1 del Modelocon10temas
Modelocon4temas_Subtema0,Subtema 0 del Modelocon4temas
Modelocon2temas_Subtema1,Subtema 1 del Modelocon2temas
Modelocon8temas_Subtema4,Subtema 4 del Modelocon8temas
abortar,abortar
libertad,libertad
Modelocon4temas_Subtema1,Subtema 1 del Modelocon4temas
ministerio,ministerio
sánchez,sánchez
género,género
entender,entender
Modelocon5temas_Subtema3,Subtema 3 del Modelocon5temas
atemmarincon,@emmarincon
caso,caso
Modelocon8temas_Subtema0,Subtema 0 del Modelocon8temas
castilla,castilla
él,él
ganar,ganar
Modelocon7temas_Subtema5,Subtema 5 del Modelocon7temas
Modelocon8temas_Subtema5,Subtema 5 del Modelocon8temas
deber,deber
país,país
Modelocon10temas_Subtema7,Subtema 7 del Modelocon10temas
esperar,esperar
Modelocon10temas_Subtema3,Subtema 3 del Modelocon10temas
seguro,seguro
dar,dar
filolabutpl,filolabutpl
dejar,dejar
vida,vida
Modelocon3temas_Subtema2,Subtema 2 del Modelocon3temas
humano,humano
buscar,buscar
Modelocon7temas_Subtema1,Subtema 1 del Modelocon7temas
Modelocon9temas_Subtema5,Subtema 5 del Modelocon9temas
cosa,cosa
vientre,vientre
red,red
mujer,mujer
Modelocon5temas_Subtema4,Subtema 4 del Modelocon5temas
Modelocon10temas_Subtema0,Subtema 0 del Modelocon10temas
público,público
Modelocon9temas_Subtema6,Subtema 6 del Modelocon9temas
Modelocon6temas_Subtema1,Subtema 1 del Modelocon6temas
Modelocon7temas_Subtema4,Subtema 4 del Modelocon7temas
decir,decir
sociedad,sociedad
ver,ver
pedir,pedir
Modelocon9temas_Subtema4,Subtema 4 del Modelocon9temas
año,año
comunidad,comunidad
salir,salir
Modelocon9temas_Subtema7,Subtema 7 del Modelocon9temas
atpabloiglesia,@pabloiglesia
Modelocon7temas_Subtema2,Subtema 2 del Modelocon7temas
abortir,abortir
privado,privado
ayuso,ayuso
Modelocon4temas_Subtema3,Subtema 3 del Modelocon4temas
trabajar,trabajar
embarazo,embarazo
español,español
idea,idea
gallardo,gallardo
anticonceptivo,anticonceptivo
Modelocon7temas_Subtema3,Subtema 3 del Modelocon7temas
voto,voto
igualdad,igualdad
Modelocon9temas_Subtema0,Subtema 0 del Modelocon9temas
médico,médico
izquierdo,izquierdo
pasar,pasar
vox,vox
gobierno,gobierno
Modelocon7temas_Subtema6,Subtema 6 del Modelocon7temas
lograr,lograr
político,político
Modelocon3temas_Subtema0,Subtema 0 del Modelocon3temas
Modelocon8temas_Subtema2,Subtema 2 del Modelocon8temas
ir,ir
sexual,sexual
abascal,abascal
Modelocon8temas_Subtema7,Subtema 7 del Modelocon8temas
mil,mil
poner,poner
Modelocon9temas_Subtema1,Subtema 1 del Modelocon9temas
atirenemontero,@irenemontero
Modelocon10temas_Subtema6,Subtema 6 del Modelocon10temas
madre,madre
creer,creer
Modelocon9temas_Subtema3,Subtema 3 del Modelocon9temas
denunciar,denunciar
persona,persona
pp,pp
Modelocon3temas_Subtema1,Subtema 1 del Modelocon3temas
violencia,violencia
Modelocon5temas_Subtema1,Subtema 1 del Modelocon5temas
perspectiva,perspectiva
bebé,bebé
Modelocon7temas_Subtema0,Subtema 0 del Modelocon7temas
Modelocon2temas_Subtema0,Subtema 0 del Modelocon2temas
Modelocon5temas_Subtema2,Subtema 2 del Modelocon5temas
salud,salud
hombre,hombre
querer,querer
seguir,seguir
defender,defender
euros,euros
referir,referir
atfilolabutpl,@filolabutpl
Modelocon5temas_Subtema0,Subtema 0 del Modelocon5temas
Modelocon6temas_Subtema4,Subtema 4 del Modelocon6temas
castigar,castigar
Modelocon6temas_Subtema2,Subtema 2 del Modelocon6temas
justicia,justicia
pagar,pagar
niño,niño
crear,crear
Modelocon9temas_Subtema8,Subtema 8 del Modelocon9temas
Modelocon6temas_Subtema5,Subtema 5 del Modelocon6temas
Modelocon10temas_Subtema8,Subtema 8 del Modelocon10temas
50,50
aborto,aborto
lista,lista
ley,ley
madrid,madrid
Modelocon9temas_Subtema2,Subtema 2 del Modelocon9temas
attheobjective_es,@theobjective_es
dirigir,dirigir
100,100
león,león
Modelocon10temas_Subtema4,Subtema 4 del Modelocon10temas
atj_zaragoza,@j_zaragoza
000,000
Modelocon8temas_Subtema3,Subtema 3 del Modelocon8temas
derecho,derecho
Modelocon4temas_Subtema2,Subtema 2 del Modelocon4temas
izquierda,izquierda
Modelocon6temas_Subtema3,Subtema 3 del Modelocon6temas
tomar,tomar
Modelocon10temas_Subtema9,Subtema 9 del Modelocon10temas
llamar,llamar
atmonasterior,@monasterior
comunista,comunista
Modelocon10temas_Subtema2,Subtema 2 del Modelocon10temas
nacer,nacer
Modelocon6temas_Subtema0,Subtema 0 del Modelocon6temas
decidir,decidir
Modelocon8temas_Subtema6,Subtema 6 del Modelocon8temas
hablar,hablar
Modelocon8temas_Subtema1,Subtema 1 del Modelocon8temas
Modelocon10temas_Subtema5,Subtema 5 del Modelocon10temas
partido,partido
derechos,derechos
oportunidad,oportunidad
atpam_angelar,@pam_angelar
atvox_es,@vox_es
quedar,quedar
