Id,Label,Type
vida,vida,Palabra clave
decir,decir,Palabra clave
Tema LSI 3,Tema LSI 3,Tema
privado,privado,Palabra clave
gallardo,gallardo,Palabra clave
humano,humano,Palabra clave
español,español,Palabra clave
Tema LSI 6,Tema LSI 6,Tema
dirigir,dirigir,Palabra clave
@vox_es,@vox_es,Palabra clave
vox,vox,Palabra clave
derecho,derecho,Palabra clave
pp,pp,Palabra clave
@emmarincon,@emmarincon,Palabra clave
volver,volver,Palabra clave
Tema LSI 5,Tema LSI 5,Tema
Tema LSI 0,Tema LSI 0,Tema
Tema LSI 1,Tema LSI 1,Tema
voto,voto,Palabra clave
Tema LSI 9,Tema LSI 9,Tema
izquierda,izquierda,Palabra clave
Tema LSI 8,Tema LSI 8,Tema
valladolid,valladolid,Palabra clave
Tema LSI 7,Tema LSI 7,Tema
Tema LSI 2,Tema LSI 2,Tema
pagar,pagar,Palabra clave
aborto,aborto,Palabra clave
decidir,decidir,Palabra clave
feminismo,feminismo,Palabra clave
quedar,quedar,Palabra clave
idea,idea,Palabra clave
año,año,Palabra clave
él,él,Palabra clave
hombre,hombre,Palabra clave
euros,euros,Palabra clave
público,público,Palabra clave
género,género,Palabra clave
Tema LSI 4,Tema LSI 4,Tema
deber,deber,Palabra clave
gobierno,gobierno,Palabra clave
pasar,pasar,Palabra clave
castilla,castilla,Palabra clave
igualdad,igualdad,Palabra clave
000,000,Palabra clave
mujer,mujer,Palabra clave
medio,medio,Palabra clave
izquierdo,izquierdo,Palabra clave
marcelo,marcelo,Palabra clave
león,león,Palabra clave
